Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
sich einen feuchten Kehricht um etwas kümmern	2230	2230	einen feuchten Kehricht + kümmer + SICH		0	2 -> 0 -> 0	0	2 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_feuchten_Kehricht_um_etwas_k%C3%BCmmern
sich einen feuchten Kehricht um etwas scheren	2231	2231	einen feuchten Kehricht + scher + SICH		0	2 -> 0 -> 0	0	2 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_feuchten_Kehricht_um_etwas_scheren
sich einen guten Abgang verschaffen	2232	2232	einen guten Abgang + verschaff + SICH		0	1 -> 0 -> 0	0	1 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_guten_Abgang_verschaffen
sich einen hinter die Binde gießen	2233	2233	einen hinter die Binde + GIEẞEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_hinter_die_Binde_gie%C3%9Fen
sich einen hinter die Binde kippen	2234	2234	einen hinter die Binde + kipp + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_hinter_die_Binde_kippen
sich einen Klotz ans Bein binden	2235	2235	einen Klotz + ans Bein + BINDEN + SICH		0	1 -> 0 -> 0 -> 0	0	1 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_Klotz_ans_Bein_binden
sich einen Reim auf etwas machen	2236	2236	keinen Reim darauf machen + KÖNNEN + SICH		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_einen_Reim_auf_etwas_machen
sich einen Ruck geben	2237	2237	einen Ruck + GEBEN + SICH		6	12 -> 10 -> 6	6	12 -> 10 -> 6							6	https://de.wiktionary.org/wiki/sich_einen_Ruck_geben
sich einen schlanken Fuß machen	2238	2238	einen schlanken Fuß + MACHEN + SICH		2	2 -> 2 -> 2	2	2 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_einen_schlanken_Fu%C3%9F_machen
sich einen Spreißel einziehen	2239	2239	einen Spreißel + \bein(\b|z|z|g) + _ZIEHEN + SICH		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_Sprei%C3%9Fel_einziehen
sich einen Stiefel einbilden	2240	2240	einen Stiefel + \bein(\b|b|z|g) + bild + SICH		0	3 -> 0 -> 0 -> 0	0	3 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_Stiefel_einbilden
sich einen von der Palme wedeln	2241	2241	einen von der Palme + wed[el] + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_von_der_Palme_wedeln
sich einen Wolf laufen	2242	2242	einen Wolf + LAUFEN + SICH		0	31 -> 0 -> 0	0	31 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_Wolf_laufen
sich eins feixen	2243	2243	eins feixen + SICH		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/sich_eins_feixen
sich entschuldigen lassen	2244	2244	entschuldigen + LASSEN + SICH		15	317 -> 16 -> 15	15	317 -> 16 -> 15							15	https://de.wiktionary.org/wiki/sich_entschuldigen_lassen
sich etwas auf die Fahne schreiben	2245	2245	auf die Fahnen + SCHREIBEN + SICH		49	49 -> 49 -> 49	49	49 -> 49 -> 49							49	https://de.wiktionary.org/wiki/sich_etwas_auf_die_Fahne_schreiben
sich etwas aus den Fingern saugen	2246	2246	aus den Fingern + SAUGEN + SICH		6	13 -> 7 -> 6	7	13 -> 8 -> 7							6	https://de.wiktionary.org/wiki/sich_etwas_aus_den_Fingern_saugen
sich etwas durch den Kopf gehen lassen	2247	2247	durch den Kopf gehen + LASSEN + SICH		5	14 -> 6 -> 5	5	14 -> 6 -> 5							5	https://de.wiktionary.org/wiki/sich_etwas_durch_den_Kopf_gehen_lassen
sich etwas durch die Lappen gehen lassen	2248	2248	durch die Lappen gehen + LASSEN + SICH		2	7 -> 2 -> 2	2	7 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_etwas_durch_die_Lappen_gehen_lassen
sich etwas gefallen lassen	2249	2249	gefallen + LASSEN + SICH		218	3569 -> 236 -> 218	221	3569 -> 240 -> 221							218	https://de.wiktionary.org/wiki/sich_etwas_gefallen_lassen
sich etwas hinter die Ohren schreiben	2250	2250	hinter die Ohren + SCHREIBEN + SICH		7	8 -> 7 -> 7	7	8 -> 7 -> 7							7	https://de.wiktionary.org/wiki/sich_etwas_hinter_die_Ohren_schreiben
sich etwas ins Bewusstsein rufen	2251	2251	ins Bewusstsein + RUFEN + SICH		1	44 -> 5 -> 1	1	44 -> 5 -> 1							1	https://de.wiktionary.org/wiki/sich_etwas_ins_Bewusstsein_rufen
sich etwas unter den Nagel reißen	2252	2252	unter den Nagel + REIẞEN + SICH		18	19 -> 18 -> 18	18	19 -> 18 -> 18							18	https://de.wiktionary.org/wiki/sich_etwas_unter_den_Nagel_rei%C3%9Fen
sich etwas zu Gemüte führen	2253	2253	zu Gemüte + FÜHREN + SICH		9	10 -> 9 -> 9	10	10 -> 10 -> 10							9	https://de.wiktionary.org/wiki/sich_etwas_zu_Gem%C3%BCte_f%C3%BChren
sich etwas zur Brust nehmen	2254	2254	zur Brust + NEHMEN + SICH		23	39 -> 25 -> 23	23	39 -> 25 -> 23							23	https://de.wiktionary.org/wiki/sich_etwas_zur_Brust_nehmen
sich etwas zwischen die Kiemen schieben	2255	2255	zwischen die Kiemen + SCHIEBEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_etwas_zwischen_die_Kiemen_schieben
sich französisch empfehlen	2256	2256	französisch + EMPFEHLEN + SICH		0	835 -> 0 -> 0	0	835 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_franz%C3%B6sisch_empfehlen
sich französisch verabschieden	2257	2257	französisch + verabschied + SICH		0	835 -> 0 -> 0	0	835 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_franz%C3%B6sisch_verabschieden
sich freuen wie ein Schneekönig	2258	2258	wie ein Schneekönig + freu + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_freuen_wie_ein_Schneek%C3%B6nig
sich für jemanden die Hand abschlagen lassen	2259	2259	für + die Hand abschlagen + LASSEN + SICH		0	376097 -> 0 -> 0 -> 0	0	376144 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_f%C3%BCr_jemanden_die_Hand_abschlagen_lassen
sich gehen lassen	2260	2260	gehen + LASSEN + SICH		161	15646 -> 379 -> 161	171	15647 -> 395 -> 171							161	https://de.wiktionary.org/wiki/sich_gehen_lassen
sich gerädert fühlen	2261	2261	gerädert + FÜHLEN + SICH		3	4 -> 3 -> 3	3	4 -> 3 -> 3							3	https://de.wiktionary.org/wiki/sich_ger%C3%A4dert_f%C3%BChlen
sich grün und blau ärgern	2262	2262	grün und blau + ÄRGERN + SICH		1	5 -> 1 -> 1	1	12 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_gr%C3%BCn_und_blau_%C3%A4rgern
sich häuslich einrichten	2263	2263	häuslich + \bein(\b|r|z|g) + richt + SICH		5	15 -> 5 -> 5 -> 5	5	15 -> 5 -> 5 -> 5							5	https://de.wiktionary.org/wiki/sich_h%C3%A4uslich_einrichten
sich im freien Fall befinden	2264	2264	im freien Fall + BEFINDEN + SICH		22	57 -> 22 -> 22	22	58 -> 22 -> 22							22	https://de.wiktionary.org/wiki/sich_im_freien_Fall_befinden
sich im Kreis bewegen	2265	2265	im Kreis + beweg + SICH		5	1228 -> 5 -> 5	7	1228 -> 7 -> 7							5	https://de.wiktionary.org/wiki/sich_im_Kreis_bewegen
sich im Kreis drehen	2266	2266	im Kreis + dreh + SICH		47	1228 -> 48 -> 47	48	1228 -> 51 -> 48							47	https://de.wiktionary.org/wiki/sich_im_Kreis_drehen
sich in Acht nehmen	2267	2267	in Acht + NEHMEN + SICH		29	33 -> 30 -> 29	32	336 -> 34 -> 32							29	https://de.wiktionary.org/wiki/sich_in_Acht_nehmen
sich in anderen Umständen befinden	2268	2268	in anderen Umständen + BEFINDEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_in_anderen_Umst%C3%A4nden_befinden
sich in den Haaren liegen	2269	2269	in den Haaren + LIEGEN + SICH		5	15 -> 5 -> 5	5	15 -> 5 -> 5							5	https://de.wiktionary.org/wiki/sich_in_den_Haaren_liegen
sich in die Brust werfen	2270	2270	in die Brust + WERFEN + SICH		2	55 -> 2 -> 2	2	55 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_in_die_Brust_werfen
sich in die eigene Tasche lügen	2271	2271	in die Tasche + LÜGEN + SICH		4	186 -> 6 -> 4	4	186 -> 6 -> 4							4	https://de.wiktionary.org/wiki/sich_in_die_eigene_Tasche_l%C3%BCgen
sich in die Falle hauen	2272	2272	in die Falle + HAUEN + SICH		0	51 -> 0 -> 0	0	51 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_in_die_Falle_hauen
sich in die Haare fahren	2273	2273	in die Haare + FAHREN + SICH		0	38 -> 0 -> 0	0	38 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_in_die_Haare_fahren
sich in die Haare geraten	2274	2274	in die Haare + GERATEN + SICH	in die Haare + LIEGEN	13	38 -> 13 -> 13	14	38 -> 14 -> 14	0	38 -> 0	0	38 -> 0			13	https://de.wiktionary.org/wiki/sich_in_die_Haare_geraten
sich in die Haare kriegen	2275	2275	in die Haare + KRIEGEN + SICH		7	38 -> 7 -> 7	7	38 -> 7 -> 7							7	https://de.wiktionary.org/wiki/sich_in_die_Haare_kriegen
sich in die Hose machen	2276	2276	in die Hose + MACHEN + SICH		6	98 -> 7 -> 6	6	98 -> 7 -> 6							6	https://de.wiktionary.org/wiki/sich_in_die_Hose_machen
sich in die Höhle des Löwen begeben	2277	2277	in die Höhle des Löwen + BEGEBEN + SICH		1	6 -> 1 -> 1	1	6 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_in_die_H%C3%B6hle_des_L%C3%B6wen_begeben
sich in die Höhle des Löwen wagen	2278	2278	in die Höhle des Löwen + WAGEN + SICH		2	6 -> 2 -> 2	2	6 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_in_die_H%C3%B6hle_des_L%C3%B6wen_wagen
sich in die Riemen legen	2279	2279	in die Riemen + LEGEN + SICH		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_in_die_Riemen_legen
sich in die Ruder legen	2280	2280	in die Ruder + LEGEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_in_die_Ruder_legen
sich in ein gemachtes Bett legen	2281	2281	in ein gemachtes Bett + LEGEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_in_ein_gemachtes_Bett_legen
sich in geistige Unkosten stürzen	2282	2282	in geistige Unkosten + stürz + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_in_geistige_Unkosten_st%C3%BCrzen
sich in Grenzen halten	2283	2283	in Grenzen + HALTEN + SICH		351	389 -> 382 -> 351	351	389 -> 382 -> 351							351	https://de.wiktionary.org/wiki/sich_in_Grenzen_halten
sich in Luft auflösen	2284	2284	in Luft + \bauf(\b|l|z|g) + AUFLÖSEN + SICH		29	60 -> 49 -> 30 -> 29	29	60 -> 49 -> 30 -> 29							29	https://de.wiktionary.org/wiki/sich_in_Luft_aufl%C3%B6sen
sich in Schale schmeißen	2285	2285	in Schale + SCHMEIẞEN + SICH		3	16 -> 3 -> 3	3	16 -> 3 -> 3							3	https://de.wiktionary.org/wiki/sich_in_Schale_schmei%C3%9Fen
sich in Schale werfen	2286	2286	in Schale + WERFEN + SICH		12	16 -> 12 -> 12	12	16 -> 12 -> 12							12	https://de.wiktionary.org/wiki/sich_in_Schale_werfen
sich in seine Bestandteile auflösen	2287	2287	in SEINPA Bestandteile + \bauf(\b|l|z|g) + AUFLÖSEN + SICH		1	9 -> 2 -> 1 -> 1	1	9 -> 2 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_in_seine_Bestandteile_aufl%C3%B6sen
sich in Szene setzen	2288	2288	in Szene + SETZEN + SICH		77	288 -> 268 -> 77	78	288 -> 270 -> 78							77	https://de.wiktionary.org/wiki/sich_in_Szene_setzen
sich in Wohlgefallen auflösen	2289	2289	in Wohlgefallen + \bauf(\b|l|z|g) + AUFLÖSEN + SICH		4	7 -> 7 -> 4 -> 4	4	7 -> 7 -> 4 -> 4							4	https://de.wiktionary.org/wiki/sich_in_Wohlgefallen_aufl%C3%B6sen
sich ins eigene Fleisch schneiden	2290	2290	ins eigene Fleisch + SCHNEIDEN + SICH		12	15 -> 12 -> 12	14	15 -> 14 -> 14							12	https://de.wiktionary.org/wiki/sich_ins_eigene_Fleisch_schneiden
sich ins Fäustchen lachen	2291	2291	ins Fäustchen + lach + SICH		14	14 -> 14 -> 14	14	14 -> 14 -> 14							14	https://de.wiktionary.org/wiki/sich_ins_F%C3%A4ustchen_lachen
sich ins gemachte Bett legen	2292	2292	ins gemachte Bett + LEGEN + SICH		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_ins_gemachte_Bett_legen
sich ins Hemd machen	2293	2293	ins Hemd + MACHEN + SICH		2	3 -> 2 -> 2	2	3 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_ins_Hemd_machen
sich ins Knie ficken	2294	2294	ins Knie + fick + SICH		0	11 -> 0 -> 0	0	11 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_ins_Knie_ficken
sich ins Koma saufen	2295	2295	ins Koma + sauf + SICH		2	47 -> 2 -> 2	2	47 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_ins_Koma_saufen
sich ins Zeug legen	2296	2296	ins Zeug + LEGEN + SICH		71	77 -> 72 -> 71	71	77 -> 72 -> 71							71	https://de.wiktionary.org/wiki/sich_ins_Zeug_legen
sich jemanden zur Brust nehmen	2297	2297	zur Brust + NEHMEN + SICH		23	39 -> 25 -> 23	23	39 -> 25 -> 23							23	https://de.wiktionary.org/wiki/sich_jemanden_zur_Brust_nehmen
sich kein Bein ausreißen	2298	2298	kein Bein + \baus(\b|r|z|g) + _REIẞEN + SICH		1	5 -> 2 -> 1 -> 1	1	5 -> 2 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_kein_Bein_ausrei%C3%9Fen
sich keine Spinne übers Maul wachsen lassen	2299	2299	keine Spinne + übers Maul wachsen + LASSEN + SICH		0	1 -> 0 -> 0 -> 0	0	1 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_keine_Spinne_%C3%BCbers_Maul_wachsen_lassen
sich keine Verzierung abbrechen	2300	2300	keine Verzierung + \bab(\b|b|z|g) + _BRECHEN + SICH		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_keine_Verzierung_abbrechen
sich keinen abbrechen	2301	2301	keinen + \bab(\b|b|z|g) + _BRECHEN + SICH		2	12544 -> 338 -> 10 -> 2	2	12557 -> 502 -> 12 -> 2							2	https://de.wiktionary.org/wiki/sich_keinen_abbrechen
sich krümmen wie ein Aal	2302	2302	wie ein Aal + krümm + SICH		0	1 -> 0 -> 0	0	1 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_kr%C3%BCmmen_wie_ein_Aal
sich lieber die Zunge abbeißen	2303	2303	lieber + die Zunge + \bab(\b|b|z|g) + _BEIẞEN + SICH		0	3246 -> 1 -> 0 -> 0 -> 0	0	3246 -> 1 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_lieber_die_Zunge_abbei%C3%9Fen
sich mit fremden Federn schmücken	2304	2304	mit fremden Federn + schmück + SICH		3	5 -> 4 -> 3	4	6 -> 5 -> 4							3	https://de.wiktionary.org/wiki/sich_mit_fremden_Federn_schm%C3%BCcken
sich nicht die Butter vom Brot nehmen lassen	2305	2305	nicht die Butter vom Brot nehmen + LASSEN + SICH		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_nicht_die_Butter_vom_Brot_nehmen_lassen
sich nicht in die Karten schauen lassen	2306	2306	nicht in die Karten + schauen + LASSEN + SICH		19	30 -> 20 -> 20 -> 19	19	30 -> 20 -> 20 -> 19							19	https://de.wiktionary.org/wiki/sich_nicht_in_die_Karten_schauen_lassen
sich nicht lumpen lassen	2307	2307	nicht lumpen + LASSEN + SICH		29	31 -> 29 -> 29	29	31 -> 29 -> 29							29	https://de.wiktionary.org/wiki/sich_nicht_lumpen_lassen
sich nichts schenken	2308	2308	nichts + schenk + SICH		42	17358 -> 83 -> 42	42	17376 -> 86 -> 42							42	https://de.wiktionary.org/wiki/sich_nichts_schenken
sich nützlich machen	2309	2309	nützlich + MACHEN + SICH		16	464 -> 20 -> 16	17	464 -> 21 -> 17							16	https://de.wiktionary.org/wiki/sich_n%C3%BCtzlich_machen
sich schadlos halten	2310	2310	schadlos + HALTEN + SICH		17	37 -> 20 -> 17	18	37 -> 21 -> 18							17	https://de.wiktionary.org/wiki/sich_schadlos_halten
sich schwarz ärgern	2311	2311	schwarz + ÄRGERN + SICH		5	3980 -> 5 -> 5	5	3980 -> 8 -> 5							5	https://de.wiktionary.org/wiki/sich_schwarz_%C3%A4rgern
sich um jeden Hosenknopf kümmern	2312	2312	um jeden Hosenknopf + kümmer + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_um_jeden_Hosenknopf_k%C3%BCmmern
sich um Kopf und Kragen reden	2313	2313	um Kopf und Kragen + REDEN + SICH		9	14 -> 9 -> 9	9	14 -> 9 -> 9							9	https://de.wiktionary.org/wiki/sich_um_Kopf_und_Kragen_reden
sich verkaufen wie geschnitten Brot	2314	2314	wie geschnitten Brot + verkauf + SICH		2	2 -> 2 -> 2	2	2 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_verkaufen_wie_geschnitten_Brot
sich vom Acker machen	2315	2315	vom Acker + MACHEN + SICH		5	13 -> 6 -> 5	5	13 -> 6 -> 5							5	https://de.wiktionary.org/wiki/sich_vom_Acker_machen
sich von jemandem eine Scheibe abschneiden können	2316	2316	eine Scheibe + abschneiden + KÖNNEN + SICH		10	113 -> 13 -> 11 -> 10	10	113 -> 13 -> 11 -> 10							10	https://de.wiktionary.org/wiki/sich_von_jemandem_eine_Scheibe_abschneiden_k%C3%B6nnen
sich vor Lachen ausschütten	2317	2317	vor Lachen + \baus(\b|s|z|g) + schütte + SICH		1	31 -> 2 -> 1 -> 1	1	34 -> 2 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_vor_Lachen_aussch%C3%BCtten
sich vor seinem eigenen Schatten fürchten	2318	2318	vor SEINMND eigenen Schatten + fürcht + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_vor_seinem_eigenen_Schatten_f%C3%BCrchten
sich wie ein Elefant im Porzellanladen benehmen	2319	2319	wie ein Elefant + im Porzellanladen + BENEHMEN + SICH		0	4 -> 0 -> 0 -> 0	0	4 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_wie_ein_Elefant_im_Porzellanladen_benehmen
sich wie gerädert fühlen	2320	2320	wie gerädert + FÜHLEN + SICH		2	2 -> 2 -> 2	2	2 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_wie_ger%C3%A4dert_f%C3%BChlen
sich winden wie ein Aal	2321	2321	ein Aal + wie + WINDEN + SICH		1	3 -> 1 -> 1 -> 1	1	3 -> 1 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_winden_wie_ein_Aal
sich zu Tode lachen	2322	2322	zu Tode + lach + SICH		1	290 -> 2 -> 1	1	294 -> 2 -> 1							1	https://de.wiktionary.org/wiki/sich_zu_Tode_lachen
sich zu Tode saufen	2323	2323	zu Tode + sauf + SICH		0	290 -> 0 -> 0	0	294 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_zu_Tode_saufen
sich zum Affen machen	2324	2324	zum Affen + MACHEN + SICH		6	7 -> 6 -> 6	6	7 -> 6 -> 6							6	https://de.wiktionary.org/wiki/sich_zum_Affen_machen
sich zum Narren machen	2325	2325	zum Narren + MACHEN + SICH		2	9 -> 3 -> 2	2	9 -> 3 -> 2							2	https://de.wiktionary.org/wiki/sich_zum_Narren_machen
sich über etwas im Klaren sein	2326	2326	über + im Klaren + SEIN + SICH		53	146460 -> 73 -> 53 -> 53	57	146471 -> 76 -> 57 -> 57							53	https://de.wiktionary.org/wiki/sich_%C3%BCber_etwas_im_Klaren_sein
sicher wie in Abrahams Schoß	2327	2327	sicher + wie in Abrahams Schoß		1	9277 -> 1	1	9277 -> 1							1	https://de.wiktionary.org/wiki/sicher_wie_in_Abrahams_Scho%C3%9F
sieben fette Jahre	2328	2328	sieben fette Jahre		1	1	1	1							1	https://de.wiktionary.org/wiki/sieben_fette_Jahre
sitzt, passt, wackelt und hat Luft	2329	2329	sitzt, passt, wackelt und hat Luft		2	2	2	2							2	https://de.wiktionary.org/wiki/sitzt%2C_passt%2C_wackelt_und_hat_Luft
so lala	2330	2330	so lala		4	4	4	4							4	https://de.wiktionary.org/wiki/so_lala
so sicher wie das Amen in der Kirche	2331	2331	sicher + wie das Amen in der Kirche		3	9277 -> 3	3	9277 -> 3							3	https://de.wiktionary.org/wiki/so_sicher_wie_das_Amen_in_der_Kirche
so um den Dreh	2332	2332	so um den Dreh		0	0	0	0							0	https://de.wiktionary.org/wiki/so_um_den_Dreh
so weit das Auge reicht	2333	2333	so weit das Auge + reich		9	9 -> 9	9	9 -> 9							9	https://de.wiktionary.org/wiki/so_weit_das_Auge_reicht
so weit die Füße tragen	2334	2334	soweit + die Füße + TRAGEN		2	1448 -> 2 -> 2	2	1448 -> 2 -> 2							2	https://de.wiktionary.org/wiki/so_weit_die_F%C3%BC%C3%9Fe_tragen
so weit, so gut	2335	2335	so weit, so gut		13	13	13	13							13	https://de.wiktionary.org/wiki/so_weit%2C_so_gut
soziale Hängematte	2336	2336	soziale Hängematte		1	1	1	1							1	https://de.wiktionary.org/wiki/soziale_H%C3%A4ngematte
Spitz auf Knopf stehen	2337	2337	Spitz auf Knopf + STEHEN	Spitz auf Knopf + SEIN	3	3 -> 3	3	3 -> 3	1	3 -> 1	1	3 -> 1			3	https://de.wiktionary.org/wiki/Spitz_auf_Knopf_stehen
Stachel im Fleisch	2338	2338	Stachel + im Fleisch		3	68 -> 3	3	68 -> 3							3	https://de.wiktionary.org/wiki/Stachel_im_Fleisch
Stachel im Fleische	2339	2339	Stachel + im Fleische		1	68 -> 1	1	68 -> 1							1	https://de.wiktionary.org/wiki/Stachel_im_Fleische
starker Tobak sein	2340	2340	starker Tobak + SEIN		5	7 -> 5	5	7 -> 5							5	https://de.wiktionary.org/wiki/starker_Tobak_sein
Station machen	2341	2341	Station + MACHEN		135	1932 -> 135	138	1941 -> 138							135	https://de.wiktionary.org/wiki/Station_machen
Staub aufwirbeln	2342	2342	Staub + \bauf(\b|w|z|g) + wirb[el]		30	497 -> 90 -> 30	32	510 -> 95 -> 32							30	https://de.wiktionary.org/wiki/Staub_aufwirbeln
stehen vor Dreck	2343	2343	vor Dreck + STEHEN		1	4 -> 1	1	4 -> 1							1	https://de.wiktionary.org/wiki/stehen_vor_Dreck
stehenden Fußes	2344	2344	stehenden Fußes		2	2	2	2							2	https://de.wiktionary.org/wiki/stehenden_Fu%C3%9Fes
steif und fest	2345	2345	steif und fest		9	9	9	9							9	https://de.wiktionary.org/wiki/steif_und_fest
steiler Zahn	2346	2346	\b[Ss]teile[rmns]? Zahn(es)?\b		0	0	0	0							0	https://de.wiktionary.org/wiki/steiler_Zahn
Stein des Anstoßes	2347	2347	Stein des Anstoßes		29	29	29	29							29	https://de.wiktionary.org/wiki/Stein_des_Ansto%C3%9Fes
Stein und Bein schwören	2348	2348	Stein und Bein + schwör		2	3 -> 2	2	3 -> 2							2	https://de.wiktionary.org/wiki/Stein_und_Bein_schw%C3%B6ren
stinken wie die Pest	2349	2349	wie die Pest		9	9	9	9							9	https://de.wiktionary.org/wiki/stinken_wie_die_Pest
stolz wie ein Pfau	2350	2350	stolz + wie ein Pfau		0	2274 -> 0	0	2277 -> 0							0	https://de.wiktionary.org/wiki/stolz_wie_ein_Pfau
stolz wie Oskar sein	2351	2351	stolz + wie Oskar		1	2274 -> 1	1	2277 -> 1							1	https://de.wiktionary.org/wiki/stolz_wie_Oskar_sein
straßauf, straßab	2352	2352	straßauf, straßab		0	0	0	0							0	https://de.wiktionary.org/wiki/stra%C3%9Fauf%2C_stra%C3%9Fab
stumm wie ein Fisch	2353	2353	stumm + wie ein Fisch		1	148 -> 1	1	148 -> 1							1	https://de.wiktionary.org/wiki/stumm_wie_ein_Fisch
Sturm im Wasserglas	2354	2354	Sturm im Wasserglas		7	7	7	7							7	https://de.wiktionary.org/wiki/Sturm_im_Wasserglas
summa summarum	2355	2355	summa summarum		12	12	12	12							12	https://de.wiktionary.org/wiki/summa_summarum
Süßholz raspeln	2356	2356	Süßholz + rasp[el]		2	10 -> 2	2	10 -> 2							2	https://de.wiktionary.org/wiki/S%C3%BC%C3%9Fholz_raspeln
Tabula rasa machen	2357	2357	Tabula rasa + MACHEN		4	6 -> 4	4	9 -> 4							4	https://de.wiktionary.org/wiki/Tabula_rasa_machen
Tacheles reden	2358	2358	Tacheles + REDEN		16	36 -> 16	16	36 -> 16							16	https://de.wiktionary.org/wiki/Tacheles_reden
Tacheles sprechen	2359	2359	Tacheles + SPRECHEN		0	36 -> 0	0	36 -> 0							0	https://de.wiktionary.org/wiki/Tacheles_sprechen
Tag für Tag	2360	2360	Tag für Tag		122	122	122	122							122	https://de.wiktionary.org/wiki/Tag_f%C3%BCr_Tag
Tag und Nacht	2361	2361	Tag und Nacht		150	150	150	150							150	https://de.wiktionary.org/wiki/Tag_und_Nacht
tagaus, tagein	2362	2362	tagaus, tagein	\b[Tt]agaus\b.*\b[Tt]agein\b	0	0	0	0	1	1	1	1			0	https://de.wiktionary.org/wiki/tagaus%2C_tagein
